titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media
反派初始化,Fanpai Chushihua,,2024-04-16,2024,,1,16,CHOSEN,Action | Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,491,58,70
择天记 (2026),Ze Tian Ji (2026),Way of Choices,2026-01-31,2026,,1,26,Shenman Entertainment,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,488,63,81
开局地摊卖大力,Kaiju Ditan Mai Dali,,2025-07-29,2025,,1,24,Unknown,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,488,60,77
有兽焉 第二季,You Shou Yan 2,Fabulous Beasts 2,2023-06-30,2023,,2,12,FENZ,Comedy | Fantasy | Slice of Life,Unknown,ONA,FINISHED,484,70,79
カビゴンとカラカラ,Kabigon to Karakara,The Adventures of Snorlax & Cubone,2023-12-08,2023,FALL 2023,1,4,POLYGON PICTURES,Fantasy,Kids,ONA,FINISHED,483,56,63
おじさんはカワイイものがお好き。,Oji-san wa Kawaii Mono ga Osuki.,,2026,2026,,1,,LIDENFILMS,Comedy | Slice of Life,Shoujo,TV,NOT_YET_RELEASED,482,,
新·异常生物见闻录：序,Xin Yichang Shengwu Jianwen Lu: Xu,,2025-07-09,2025,,2,7,Studio LAN | Pb Animation | Sunflowers,Adventure | Fantasy | Sci-Fi,Unknown,ONA,FINISHED,481,,51
コアラ絵日記,Koala Enikki,Koala's Diary,2025-10-02,2025,FALL 2025,1,,studio MOTHER,Slice of Life,Unknown,ONA,RELEASING,479,51,58
おでかけ子ザメ シーズン2,Odekake Kozame Season 2,Little Shark's Day Out Season 2,2026-04-12,2026,SPRING 2026,1,,ENGI,Slice of Life,Unknown,TV_SHORT,RELEASING,477,,76
傲世九重天,Aoshi Jiu Chong Tian,Transcending the Nine Heavens,2023-10-01,2023,,1,12,Foch,Action | Adventure | Fantasy | Romance,Unknown,ONA,FINISHED,477,61,72
爆丸レジェンズ,Bakugan: Legends,,2023-03-31,2023,SPRING 2023,1,13,TMS Entertainment,Action | Fantasy,Kids,ONA,FINISHED,477,62,70
正经少主的幸福生活,Zhengjing Shao Zhu De Xingfu Shenghuo,The Little Master's Better Life,2023-10-22,2023,,1,12,Foch,Fantasy,Unknown,ONA,FINISHED,476,52,63
从红月开始,Cong Hong Yue Kaishi,,2023-12-25,2023,,1,16,Foch,Horror | Psychological | Sci-Fi | Supernatural,Unknown,ONA,FINISHED,473,57,67
つれづれポピパ ,Tsurezure PoPiPa,,2025-04-28,2025,SPRING 2025,1,10,STUDIO MORIKEN,Comedy | Slice of Life,Unknown,ONA,FINISHED,472,56,62
赘婿,Zhui Xu,My Heroic Husband,2023-04-23,2023,,2,12,Oriental Creative Color,Comedy | Romance | Slice of Life,Unknown,ONA,FINISHED,471,63,73
云深不知梦,Yun Shen Buzhi Meng,Eclipse of Illusion,2025-07-05,2025,,2,26,Pure Arts,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,469,67,78
崩坏：星穹铁道 你…你好，我叫藿藿,"Benghuai: Xingqiong Tiedao - Ni... Nihao, Wo Jiao Huohuo","Honkai: Star Rail — H-Hello, I'm Huohuo.",2023-11-14,2023,,1,1,miHoYo Anime,Supernatural,Unknown,ONA,FINISHED,462,60,67
永生 第四季,Yong Sheng 4,,2024-07-26,2024,,2,16,Oriental Creative Color,Action | Drama | Fantasy,Unknown,ONA,FINISHED,462,64,73
牧神记3,Mu Shen Ji 3,,2025-10-19,2025,,2,26,Sparkly Key Animation,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,460,72,86
剑域风云 第二季,Jian Yu Chuanqi 2,The Legend of Sword Domain 2rd Season,2023-01-15,2023,,2,52,Ruo Hong Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,459,58,67
我捡起了一地属性,Wo Jian Qile Yi Di Shuxing,,2023-01-23,2023,,1,16,Foch,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,458,54,61
她不当女主很多年,Ta Bu Dang Nüzhu Hen Duonian,Since I Wasn’t the Heroine,2023-04-22,2023,,1,16,Liyu Culture,Action,Unknown,ONA,FINISHED,457,53,63
鎧真伝サムライトルーパー 第2クール,Yoroi Shinden Samurai Troopers Part 2,,2026-07,2026,SUMMER 2026,1,,Sunrise,Action | Adventure | Sci-Fi,Unknown,TV,NOT_YET_RELEASED,454,,
마왕님은 죽고 싶어,Mawangnimeun Jukgosipeo,,2023-03-27,2023,,1,10,Laftel,Romance | Supernatural,Unknown,ONA,FINISHED,452,,57
にけにち！のんのん前哨基地,Nikke Nichi! Non Non Zenshou Kichi,NIKKE Outpost: Off-Duty Tales,2026-05-22,2026,SPRING 2026,1,,Unknown,Comedy | Sci-Fi | Slice of Life,Unknown,ONA,RELEASING,451,,77
【アイシールド21 】21st ANNIVERSARY PV,Eyeshield 21: 21st ANNIVERSARY PV,,2024-01-28,2024,,1,1,Village Studio,Comedy | Sports,Unknown,ONA,FINISHED,450,55,63
今天的晚餐就是你,Jintian De Wancan Jiushi Ni,Mythical Creatures Are My Dinners,2024-06-05,2024,,1,36,Delight Animation,Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,448,,56
戏精宿舍,Xijing Sushe,,2024-08-29,2024,,1,12,Yofox Culture,Drama | Slice of Life,Unknown,ONA,FINISHED,446,,64
サンダー３,Thunder 3,,2026-07,2026,SUMMER 2026,1,,Unknown,Adventure | Drama | Sci-Fi,Shounen,TV,NOT_YET_RELEASED,439,,
デュエル・マスターズWIN 決闘学園編,Duel Masters WIN: Duel Wars,,2023-04-02,2023,SPRING 2023,2,49,Brain's Base,Action | Adventure | Comedy,Unknown,TV,FINISHED,439,,56
かいじゅうせかいせいふく,Kaijuu Sekai Seifuku,,2025-04-05,2025,SPRING 2025,1,50,DLE,Slice of Life,Unknown,TV_SHORT,FINISHED,437,46,52
长歌行,Chang Ge Xing,The Legend of Princess Chang-Ge,2025-02-23,2025,,1,16,BigBigSun,Action | Adventure | Drama,Unknown,ONA,FINISHED,435,55,69
おにもももも,Onimomomomo,TOUGEN ANKI Mini Anime,2025-06-21,2025,,1,,Dou-Raku,Comedy,Unknown,ONA,RELEASING,433,54,63
翠と唄えば,SUI to Utaeba,,2024-12-05,2024,,1,1,CALF,Slice of Life,Unknown,ONA,FINISHED,431,52,56
舌先から恋,Shitasaki kara Koi,,2023-03-10,2023,WINTER 2023,1,3,AQUA ARIS,Comedy | Romance,Unknown,ONA,FINISHED,426,50,54
丹道至尊,Dan Dao Zhizun,,2023-12-23,2023,,1,168,Ruo Hong Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,424,59,69
勘違いの工房主ミニアニメ,Kanchigai no Atelier Meister Mini Anime,,2025-04-06,2025,SPRING 2025,1,14,Unknown,Comedy,Unknown,ONA,FINISHED,424,49,56
三线轮洄,San Xian Lun Hui,Secrets of the Rivers,2025-12-05,2025,,1,18,ASK Animation Studio,Action | Adventure,Unknown,ONA,FINISHED,422,,66
Duel Masters LOST ～忘却の太陽～,Duel Masters LOST: Boukyaku no Taiyou,,2026-02-06,2026,WINTER 2026,1,4,J.C.STAFF | Shogakukan Music & Digital Entertainment,Adventure | Supernatural,Unknown,ONA,FINISHED,421,,53
有兽焉 第三季,You Shou Yan 3,Fabulous Beasts 3,2024-05-17,2024,,2,12,FENZ,Comedy | Fantasy | Slice of Life,Unknown,ONA,FINISHED,420,70,80
オタクの僕が一軍ギャルと付き合えるまでの話,Otaku no Boku ga Ichigun Gal to Tsukiaeru Made no Hanashi,,2026-04-29,2026,SPRING 2026,1,,Unknown,Hentai,Unknown,ONA,RELEASING,418,58,68
盘龙,Pan Long,,2026-04-30,2026,,1,20,CG Year,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,416,,75
selector loth WIXOSS PV,selector loth WIXOSS PV,,2024-04-26,2024,,2,1,J.C.STAFF,Drama | Psychological | Thriller,Unknown,ONA,FINISHED,416,57,63
炎の闘球女 ドッジ弾子,Honoo no Toukyuujyo Dodge Danko,,2026-07,2026,SUMMER 2026,1,,CUE,Comedy | Sports,Unknown,TV,NOT_YET_RELEASED,415,,
开局就有王者账号,Kaiju Jiu You Wang Zhe Zhanghao,,2025-12-21,2025,,1,12,Liliyabi,Action | Fantasy | Mystery | Sci-Fi,Unknown,ONA,FINISHED,413,,63
ぼさにまる,Bosanimal,,2023-04-03,2023,SPRING 2023,1,96,soket | maroyaka,Slice of Life,Kids,TV_SHORT,FINISHED,413,48,53
一世之尊,Yishi Zhi Zun,,2024-02-18,2024,,1,16,Wonder Cat Animation,Action | Fantasy,Unknown,ONA,FINISHED,410,,68
大主宰 第二季,Da Zhu Zai 2,The Great Ruler 2nd Season,2026-01-09,2026,,1,52,Motion Magic,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,410,,76
剑来 第二季,Jian Lai 2,Sword of Coming 2nd Season,2025-12-25,2025,,1,27,Cloud Art,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,408,,83
こねこのチー ポンポンらー夏休み,Koneko no Chii: Ponponra Natsuyasumi,Chi’s Sweet Adventure: Summer Vacation,2024-07-19,2024,SUMMER 2024,1,12,Marza Animation Planet,Comedy | Slice of Life,Kids,ONA,FINISHED,408,56,65
傷だらけ聖女より報復をこめて Season2,Kizu darake Seijo yori Houfuku wo Komete Season2,,2026-10,2026,FALL 2026,1,,Imageworks Studio | Imagica Infos,Fantasy | Romance,Unknown,TV_SHORT,NOT_YET_RELEASED,408,,
有药2,You Yao 2,,2023-09-27,2023,,1,24,Shengying Animation,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,405,,70
一念永恒 质子篇,Yi Nian Yongheng: Zhizi Pian,,2023-06-28,2023,,2,3,B.CMAY PICTURES,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,404,69,80
超凡进化,Chaofan Jinhua,,2025-12-23,2025,,1,14,Joicy Studio,Action | Fantasy,Unknown,ONA,FINISHED,402,,68
ンめねこ,Nmeneko,,2025-04-04,2025,SPRING 2025,1,48,Kumarba,Comedy,Unknown,TV_SHORT,FINISHED,401,48,54
有兽焉 第四季,You Shou Yan 4,Fabulous Beasts 4,2024-08-02,2024,,2,12,FENZ,Comedy | Fantasy,Unknown,ONA,FINISHED,398,70,81
ユーチューニャー,YouTuNya,,2023-04-04,2023,SPRING 2023,2,15,Lesprit,Comedy | Slice of Life,Unknown,TV_SHORT,FINISHED,398,47,50
小绿和小蓝 第二季 魔王篇,Xiaolü He Xiaolan 2: Mowang Pian,,2023-07-12,2023,,2,12,Big Firebird Cultural Media,Comedy | Drama | Fantasy,Unknown,ONA,FINISHED,396,55,66
最強王図鑑 ～The Ultimate Battles～,Sai-Kyo-Oh! Zukan: The Ultimate Battles,,2024-01-06,2024,WINTER 2024,2,50,OLM,Action,Kids,TV_SHORT,FINISHED,396,56,67
爆丸,Bakugan,Bakugan,2023-09-01,2023,SUMMER 2023,1,26,TMS Entertainment,Action | Fantasy,Kids,ONA,FINISHED,395,54,62
大道朝天,Da Dao Chao Tian,One Way or Another,2024-10-10,2024,,1,16,CG Year,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,395,61,73
鲤氏侦探事务所：两小时假期,Lee Shi Zhentan Shiwusuo: Liang Xiaoshi Jiaqi,Lee's Detective Agency: A Holiday of Two Hours,2023-04-22,2023,,1,1,Gravity Well,Action,Unknown,ONA,FINISHED,392,55,61
笼中人,Long Zhong Ren,,2024-08-06,2024,,1,16,White Paper Animation,Comedy | Mystery | Romance,Unknown,ONA,FINISHED,390,56,68
Agent Blue,Agent Blue,,2024-11-10,2024,FALL 2024,1,3,Unknown,Horror,Unknown,ONA,FINISHED,389,44,45
紫禁·御喵房,Zi Jin: Yu Miao Fang,Paw & Palaces,2025-12-03,2025,,1,16,Colored Pencil Animation,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,386,,72
武动乾坤 第6季,Wu Dong Qiankun 6,,2025-11-20,2025,,2,12,Motion Magic,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,384,67,79
호랑이 들어와요,Horangi Deureowayo,,2024-07-22,2024,,1,8,Laftel,Slice of Life | Supernatural,Unknown,ONA,FINISHED,382,,72
崩坏：星穹铁道 一轮朝阳的命运,Benghuai: Xingqiong Tiedao - Yilun Zhaoyang de Mingyun,Honkai: Star Rail  — The Destiny of Each New Dawn,2025-07-04,2025,,1,1,miHoYo Anime,Action | Drama | Psychological,Unknown,ONA,FINISHED,382,69,82
狐妖小红娘 无暮,Huyao Xiao Hongniang: Wu Mu,,2023-06-24,2023,,2,12,GARDEN,Adventure | Fantasy | Romance,Unknown,ONA,FINISHED,382,,67
カズヒホとマリーのようこそキッチン。,Kazuhiho to Marie no Youkoso Kitchen.,,2024-11-14,2024,FALL 2024,1,6,Unknown,Comedy,Unknown,ONA,FINISHED,381,51,59
原神展～たびごころの赴くままに～ 記念アニメ,Genshin Ten: Tabigokoro no Omomuku Mama ni Kinen Anime,,2024-07-18,2024,,1,1,Unknown,Slice of Life,Unknown,ONA,FINISHED,380,57,69
九阳武神,Jiu Yang Wushen,Ascendants of the Nine Suns,2025-11-22,2025,,1,20,Xing Yi Kai Chen,Fantasy,Unknown,ONA,FINISHED,378,57,72
붉은 여우,Bulgeun Yeou,Red Fox,2025-05-19,2025,,1,10,Laftel,Drama | Fantasy | Horror | Mystery | Romance | Supernatural,Unknown,ONA,FINISHED,378,,66
ちびゴジラの逆襲２,Chibi Godzilla no Gyakushuu 2,Chibi Godzilla Raids Again Season 2,2024-04-03,2024,SPRING 2024,2,52,Pie in the sky,Comedy | Fantasy,Kids,TV_SHORT,FINISHED,376,57,68
まついぬ,Matsuinu,,2023-10-07,2023,FALL 2023,1,12,Point Pictures,Comedy | Slice of Life,Unknown,TV_SHORT,FINISHED,375,45,49
幻宠师,Huan Chong Shi,,2024-05-26,2024,,1,16,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,373,61,72
ツンリゼ ミニ,Tsunlise Mini,,2023-01-08,2023,WINTER 2023,1,12,Unknown,Fantasy,Unknown,ONA,FINISHED,371,49,57
神印王座剧场版 伊莱克斯传奇,Shen Yin Wangzuo Movie: Yi Lai Ke Si Chuanqi,,2025-04-30,2025,,1,1,Shenman Entertainment,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,371,64,77
盖世帝尊,Gaishi Dizun,,2023-07-30,2023,,1,52,Xiaoming Taiji,Action | Fantasy,Unknown,ONA,FINISHED,367,57,67
667通のラブレター,667-tsuu no Love Letter,,2023-03-20,2023,,1,1,Unknown,Romance,Unknown,ONA,FINISHED,365,51,57
眷思量之风烟迭起,Juan Siliang: Feng Yan Dieqi,,2024-06-01,2024,,2,15,Year Young Culture,Fantasy | Mystery | Romance,Unknown,ONA,FINISHED,365,58,73
ポケモンマスターズ EX 4.5周年記念,Pokémon Masters EX 4.5 Shuunen Kinen,Pokémon Masters EX: 4.5 Year Celebration!,2024-02-27,2024,,1,1,Liberty Animation Studio,Action | Fantasy,Unknown,ONA,FINISHED,365,51,57
暂停！秩序重组,Zanting! Zhi Xu Chongzu,,2024-11-14,2024,,1,12,Kungfufrog Animation,Action | Comedy | Fantasy,Unknown,ONA,FINISHED,364,,64
虚无边境,Xuwu Bianjing,,2024-04-10,2024,,1,13,Green Planet Studio,Action | Adventure | Sci-Fi,Unknown,ONA,FINISHED,364,,64
圣祖,Shengzu,,2024-01-23,2024,,1,26,Transcendence Picture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,362,50,58
藍の約束,Ai no Yakusoku,The Boy and the Witch,2024-09-21,2024,,1,1,Unknown,Mystery | Romance,Unknown,ONA,FINISHED,361,54,62
原神 尘间星旅,Yuanshen: Chen Jian Xing Lu,"Genshin Impact ""Star Odyssey""",2025-06-12,2025,,1,1,miHoYo Anime,Fantasy,Unknown,ONA,FINISHED,360,65,75
妖神记 第9季,Yao Shen Ji 9,,2025-07-17,2025,,1,52,Ruo Hong Culture,Action | Adventure | Fantasy | Romance,Unknown,ONA,FINISHED,359,65,79
神澜奇域无双珠 第二季,Shen Lan Qi Yu Wushuang Zhu 2,,2023-01-14,2023,,2,15,CG Year,Action | Fantasy,Unknown,ONA,FINISHED,358,66,77
玄界之门,Xuan Jie Zhi Men,,2025-11-26,2025,,1,26,BYMENT,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,357,57,70
不死不灭之少年出山,Bu Si Bu Mie,The Eternal Strife,2023-11-16,2023,,1,16,Wonder Cat Animation,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,356,55,65
关喵什么事,Guan Miao Shenmeshi,My Cat Hates Me,2023-01-02,2023,,1,13,Space Shell,Comedy | Slice of Life,Unknown,ONA,FINISHED,354,53,61
开拍啦！怪兽大电影,Kai Pai La! Guaishou Da Dianying,,2026-04-24,2026,,1,12,HuaMei Animation,Comedy | Fantasy,Unknown,ONA,RELEASING,353,,68
超普通マホウ少女アスミトルバース,Chou Futsuu Mahou Shoujo Asumi Toruverse,,2025-10-02,2025,FALL 2025,1,13,Super Normal Studio,Comedy | Fantasy | Mahou Shoujo,Unknown,TV_SHORT,FINISHED,350,,41
1초,1 Cho,,2024-11-24,2024,,1,13,NAMU Animation | Durufix,Action | Drama,Unknown,TV_SHORT,FINISHED,350,,51
丹道宗师,Dan Dao Zongshi,,2023-02-27,2023,,1,40,Unknown,Action | Fantasy,Unknown,ONA,FINISHED,348,52,60
さわらないで小手指くんミニアニメ劇場,Sawaranaide Kotesashi-kun Mini Anime Gekijou,Hands off: Sawaranaide Kotesashi-kun! Mini Anime,2025-10-06,2025,FALL 2025,1,12,Front Wing,Comedy | Ecchi | Romance | Sports,Unknown,TV_SHORT,FINISHED,346,,55
仙帝归来,Xian Di Guilai,,2025-10-27,2025,,1,16,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,346,63,78
ラプソディ,Rhapsody,,2023-11-20,2023,FALL 2023,1,4,NAZ,Music,Unknown,ONA,FINISHED,346,,58
鲤氏侦探事务所 Once Upon a Time in Lungmen,Lee Shi Zhentan Shiwusuo: Once Upon a Time in Lungmen,Lee's Detective Agency - Special Episode,2023-01-27,2023,,1,1,Gravity Well,,Unknown,ONA,FINISHED,345,50,54
真武巅峰 第三季,Zhenwu Dianfeng 3,The Peak of True Martial Arts 3,2023-11-29,2023,,1,104,Ruo Hong Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,345,57,68
明日ちゃん100万部,Akebi-chan 100 man-bu,,2023-03-17,2023,,1,1,Unknown,,Unknown,ONA,FINISHED,344,,64
일레나 에보이 관찰 일지,Elena Evoy Gwanchal Ilji,Observing Elena Evoy,2023-03-10,2023,,1,12,Laftel,Fantasy | Romance,Unknown,ONA,FINISHED,344,,52
Duel Masters LOST ～月下の死神～,Duel Masters LOST: Gekka no Shinigami,,2024-12-21,2024,WINTER 2025,2,4,J.C.STAFF,Adventure | Supernatural,Unknown,ONA,FINISHED,343,,55
真阳武神,Zhen Yang Wushen,,2023-07-10,2023,,1,14,Wonder Cat Animation | Passion Paint Animation,Action | Fantasy,Unknown,ONA,FINISHED,343,56,67
独步万古 第二季,Dubu Wangu 2nd Season,,2024-02-09,2024,,1,90,Soyep,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,343,56,69
深空彼岸,Shen Kong Bian,,2026-01-16,2026,,1,26,Motion Magic,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,342,,67
完美世界剧场版 火之灰烬,Wanmei Shijie Movie: Huo Zhi Huijin,,2024-09-14,2024,,2,3,Foch,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,342,63,76
ポケ起き,PokéOki,,2025-07-21,2025,SUMMER 2025,1,6,Unknown,Slice of Life,Unknown,ONA,FINISHED,339,57,69
レッツロール！シナモロール,"Let's Roll, Cinnamoroll!","Let's Roll, Cinnamoroll!",2025-03-06,2025,WINTER 2025,1,12,qmotri,Slice of Life,Kids,ONA,FINISHED,334,59,72
风灵玉秀 第二章 特别篇,Feng Ling Yu Xiu 2nd Season: Tebie Pian,,2024-08-07,2024,,1,2,Sunflowers,Action | Adventure | Comedy | Drama,Unknown,ONA,FINISHED,333,58,71
王者大师兄,Wang Zhe Da Shixiong,,2023-09-30,2023,,1,16,Qiyuan Yinghua,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,333,57,68
余烬行者,Yujin Xingzhe,EMBERS,2025-06-12,2025,,1,15,D.ROCK-ART,Action | Sci-Fi,Unknown,ONA,FINISHED,332,,65
貼りまわれ！こいぬ,Harimaware! Koinu,,2024-01-06,2024,WINTER 2024,2,12,Opera House,Comedy | Slice of Life,Josei,TV_SHORT,FINISHED,331,,62
ループ7回目の悪役令嬢は、元敵国で自由気ままな花嫁生活を満喫する ミニアニメ,"More Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru Mini Anime",,2024-01-07,2024,WINTER 2024,1,12,Unknown,Fantasy,Unknown,ONA,FINISHED,330,49,57
师兄啊师兄 年番,Shixiong A Shixiong 3,Big Brother 3,2024-06-06,2024,,2,52,Sparkly Key Animation,Action | Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,329,65,79
武庚纪 第四季 下,Wu Geng Ji 4 Part 2,,2023-01-03,2023,,1,18,Sparkly Key Animation,Action | Fantasy | Supernatural,Unknown,ONA,FINISHED,328,59,73
天影,Tian Ying,,2024-09-21,2024,,1,26,Boruntong,Action | Fantasy,Unknown,ONA,FINISHED,325,,59
傲世丹神,Aoshi Dan Shen,The Alchemist's Rise,2025-12-02,2025,,1,12,Ruo Hong Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,325,60,73
不灭神王,Bu Mie Shen Wang,The Rich God,2023-04-20,2023,,1,19,Djinn Power,Fantasy,Unknown,ONA,FINISHED,325,53,64
百炼成神3,Bai Lian Cheng Shen 3,Apotheosis 3,2025-12-09,2025,,1,52,Qingxiang,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,323,,85
完美世界 第六季,Wanmei Shijie 6,,2025-10-03,2025,,1,52,Foch,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,319,65,85
崩坏：星穹铁道 大 黑 塔 的 魔 法 厨 房,Benghuai: Xingqiong Tiedao - The Her Ta De Mo Fa Chu Fang,Honkai: Star Rail - T H E H E R T A'S M A G I C K I T C H E N,2025-01-09,2025,,1,1,miHoYo Anime,Fantasy | Sci-Fi,Unknown,ONA,FINISHED,318,65,78
女神有点灵,Nüshen You Dian Ling,Oh! My goddess!,2023-04-24,2023,,1,18,Visual Persistence,Romance | Supernatural,Unknown,ONA,FINISHED,318,,55
大宇宙时代,Da Yuzhou Shidai,,2024-01-22,2024,,1,12,Foch,Action | Sci-Fi,Unknown,ONA,FINISHED,317,,50
アイカツアカデミー！アニメーションPVs,Aikatsu Academy! Animation PVs,,2024-07-16,2024,,1,,Bandai Namco Pictures,Music,Unknown,ONA,RELEASING,317,54,65
KICKS AND PUNK,KICKS AND PUNK,,2024-03-22,2024,,1,1,Nippon Animation,,Unknown,ONA,FINISHED,316,52,58
週刊ラノベアニメ,Shuukan Ranobe Anime,,2025-07-13,2025,SUMMER 2025,1,12,Ziine Studio,Action | Drama | Romance,Unknown,TV,FINISHED,316,,41
五行战神,Wu Xing Zhan Shen,,2023-06-24,2023,,1,80,Ruo Hong Culture,Action | Fantasy,Unknown,ONA,FINISHED,315,,66
堕玄师,Duo Xuan Shi,The Fallen Master,2023-07-04,2023,,1,16,Medo,Fantasy,Unknown,ONA,FINISHED,315,56,68
克金玩家,Ke Jin Wanjia,,2025-06-10,2025,,1,26,2:10 Animation,Action | Adventure | Sci-Fi,Unknown,ONA,FINISHED,312,,67
永生之太元仙府,Yong Sheng 5,,2025-12-20,2025,,1,26,Unknown,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,311,,72
夜廻り猫,Yomawari Neko,,2023-03-21,2023,WINTER 2023,1,15,Shogakukan Music & Digital Entertainment,Drama | Slice of Life,Unknown,TV_SHORT,FINISHED,310,,49
灵武大陆,Ling Wu Dalu,,2024-07-26,2024,,1,,Unknown,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,307,,72
异人君莫邪,Yiren Jun Moxie,,2024-01-24,2024,,1,12,DC Impression Vision,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,307,51,58
一世独尊,Yishi Du Zun,,2023-04-22,2023,,2,45,Xing Yi Kai Chen,Adventure | Fantasy,Unknown,ONA,FINISHED,306,54,63
百炼飞升录,Bai Lian Feisheng Lu,,2023-03-24,2023,,2,60,Soyep,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,304,54,66
Ghost Tale,Ghost Tale,Ghost Tale,2023-10-31,2023,FALL 2023,1,1,Marza Animation Planet,Comedy | Slice of Life | Supernatural,Unknown,ONA,FINISHED,304,56,61
明日方舟新春会 离离枯荣,Arknights Xin​chun Hui: Lili Kurong,,2024-01-28,2024,,1,1,GEAR STUDIO,Fantasy,Unknown,ONA,FINISHED,300,55,65
回铭之烽火三月 ,Hui Ming: Fenghuo Sanyue,,2024-05-02,2024,,1,16,Wonder Cat Animation | Mili Digital,Action | Fantasy,Unknown,ONA,FINISHED,299,56,69
拾刀者,Shi Dao Zhe,Arknights - The Daggers' Inheritors,2024-04-27,2024,,1,1,Gravity Well,Action | Fantasy,Unknown,ONA,FINISHED,299,66,80
おーばーていく！えくすとら,Overtake! Extra,,2023-10-01,2023,FALL 2023,1,12,Unknown,,Unknown,ONA,FINISHED,298,,49
神澜奇域无双珠 天魔篇,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,,2023-07-15,2023,,1,15,CG Year,Action | Fantasy,Unknown,ONA,FINISHED,296,62,75
凡人修仙传 第五季,Fanren Xiu Xian Zhuan Di Wu Ji,,2026-06-13,2026,,1,52,Original Force | Wonder Cat Animation,Action | Adventure | Fantasy,Unknown,ONA,NOT_YET_RELEASED,296,,
捕星司·源起,Bu Xing Si: Yuan Qi,Blader Soul,2024-02-29,2024,,1,18,Passion Paint Animation,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,296,,65
神墓 第三季,Shen Mu 3,,2025-08-08,2025,,1,52,Wonder Cat Animation,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,295,,77
沧元图 第三季,Cang Yuan Tu 3,,2026-04-03,2026,,1,,Shenman Entertainment,Action | Adventure | Fantasy,Unknown,ONA,RELEASING,295,,80
十方剑圣,Shi Fang Jian Sheng,Sword Saint of The Ten Realms,2023-07-01,2023,,1,18,Cloud Culture,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,294,55,67
万古最强宗,Wan Gu Zui Qiang Zong,,2024-11-06,2024,,1,36,Ruo Hong Culture,Action | Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,294,54,67
神国之上,Shenguo Zhi Shang,,2025-06-14,2025,,2,17,CG Year,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,293,61,75
武映三千道 第二季,Wu Ying Sanqian Dao 2,,2023-08-26,2023,,1,50,Tang Kirin Culture,Action | Adventure | Comedy | Fantasy,Unknown,ONA,FINISHED,292,58,71
お買いものパンダ！,Okaimono Panda!,Okaimono Panda,2024-11-06,2024,FALL 2024,1,20,Shin-Ei Animation,Comedy | Slice of Life,Kids,TV_SHORT,FINISHED,291,,54
ぷちきゅあ～Precure Fairies～ シーズン２,PetitCure: Precure Fairies Season 2,,2025-10-09,2025,FALL 2025,2,23,IKIF+,Fantasy | Slice of Life,Kids,ONA,FINISHED,289,54,63
异空战歌,Yi Kong Zhan Ge,Thrud,2023-08-17,2023,,1,15,Shengying Animation,Action | Fantasy,Unknown,ONA,FINISHED,288,,65
